web-scraper-order,web-scraper-start-url,URL,URL-href,abstract,citations
"1707252119-1","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2017&page=42","Wnt/β-catenin promotes gastric fundus specification in mice and humans","https://www.nature.com/articles/nature21021","","161 Citations"
"1707252125-2","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2017&page=41","Penitentes as the origin of the bladed terrain of Tartarus Dorsa on Pluto","https://www.nature.com/articles/nature20779","Penitentes are snow and ice features formed by erosion that, on Earth, are characterized by bowl-shaped depressions several tens of centimetres across, whose edges grade into spires up to several metres tall1,2,3. Penitentes have been suggested as an explanation for anomalous radar data on Europa4, but until now no penitentes have been identified conclusively on planetary bodies other than Earth. Regular ridges with spacings of 3,000 to 5,000 metres and depths of about 500 metres with morphologies that resemble penitentes have been observed by the New Horizons spacecraft5,6,7,8 in the Tartarus Dorsa region of Pluto (220°–250° E, 0°–20° N). Here we report simulations, based upon a recent model3 representing conditions on Pluto7,9, in which deepening penitentes reproduce both the tri-modal (north–south, east–west and northeast–southwest) orientation and the spacing of the ridges of this bladed terrain. At present, these penitentes deepen by approximately one centimetre per orbital cycle and grow only during periods of relatively high atmospheric pressure, suggesting a formation timescale of several tens of millions of years, consistent with crater ages. This timescale implies that the penitentes formed from initial topographic variations of no more than a few tens of metres, consistent with Pluto’s youngest terrains.","40 Citations"
"1707252128-3","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2017&page=41","Integrated genomic characterization of oesophageal carcinoma","https://www.nature.com/articles/nature20805","","1180 Citations"
"1707252131-4","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2017&page=41","Genome-wide in vivo screen identifies novel host regulators of metastatic colonization","https://www.nature.com/articles/nature20792","Metastasis is the leading cause of death for cancer patients. This multi-stage process requires tumour cells to survive in the circulation, extravasate at distant sites, then proliferate; it involves contributions from both the tumour cell and tumour microenvironment (‘host’, which includes stromal cells and the immune system1). Studies suggest the early steps of the metastatic process are relatively efficient, with the post-extravasation regulation of tumour growth (‘colonization’) being critical in determining metastatic outcome2. Here we show the results of screening 810 mutant mouse lines using an in vivo assay to identify microenvironmental regulators of metastatic colonization. We identify 23 genes that, when disrupted in mouse, modify the ability of tumour cells to establish metastatic foci, with 19 of these genes not previously demonstrated to play a role in host control of metastasis. The largest reduction in pulmonary metastasis was observed in sphingosine-1-phosphate (S1P) transporter spinster homologue 2 (Spns2)-deficient mice. We demonstrate a novel outcome of S1P-mediated regulation of lymphocyte trafficking, whereby deletion of Spns2, either globally or in a lymphatic endothelial-specific manner, creates a circulating lymphopenia and a higher percentage of effector T cells and natural killer (NK) cells present in the lung. This allows for potent tumour cell killing, and an overall decreased metastatic burden.","162 Citations"
"1707252134-5","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2017&page=41","Structural variation in amyloid-β fibrils from Alzheimer's disease clinical subtypes","https://www.nature.com/articles/nature20814","Aggregation of amyloid-β peptides into fibrils or other self-assembled states is central to the pathogenesis of Alzheimer’s disease. Fibrils formed in vitro by 40- and 42-residue amyloid-β peptides (Aβ40 and Aβ42) are polymorphic, with variations in molecular structure that depend on fibril growth conditions1,2,3,4,5,6,7,8,9,10,11,12. Recent experiments1,13,14,15,16 suggest that variations in amyloid-β fibril structure in vivo may correlate with variations in Alzheimer’s disease phenotype, in analogy to distinct prion strains that are associated with different clinical and pathological phenotypes17,18,19. Here we investigate correlations between structural variation and Alzheimer’s disease phenotype using solid-state nuclear magnetic resonance (ssNMR) measurements on Aβ40 and Aβ42 fibrils prepared by seeded growth from extracts of Alzheimer’s disease brain cortex. We compared two atypical Alzheimer’s disease clinical subtypes—the rapidly progressive form (r-AD) and the posterior cortical atrophy variant (PCA-AD)—with a typical prolonged-duration form (t-AD). On the basis of ssNMR data from 37 cortical tissue samples from 18 individuals, we find that a single Aβ40 fibril structure is most abundant in samples from patients with t-AD and PCA-AD, whereas Aβ40 fibrils from r-AD samples exhibit a significantly greater proportion of additional structures. Data for Aβ42 fibrils indicate structural heterogeneity in most samples from all patient categories, with at least two prevalent structures. These results demonstrate the existence of a specific predominant Aβ40 fibril structure in t-AD and PCA-AD, suggest that r-AD may relate to additional fibril structures and indicate that there is a qualitative difference between Aβ40 and Aβ42 aggregates in the brain tissue of patients with Alzheimer’s disease.","458 Citations"
"1707252137-6","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2017&page=41","A symmoriiform chondrichthyan braincase and the origin of chimaeroid fishes","https://www.nature.com/articles/nature20806","Chimaeroid fishes (Holocephali) are one of the four principal divisions of modern gnathostomes (jawed vertebrates). Despite only 47 described living species1, chimaeroids are the focus of resurgent interest as potential archives of genomic data2 and for the unique perspective they provide on chondrichthyan and gnathostome ancestral conditions. Chimaeroids are also noteworthy for their highly derived body plan1,3,4. However, like other living groups with distinctive anatomies5, fossils have been of limited use in unravelling their evolutionary origin, as the earliest recognized examples already exhibit many of the specializations present in modern forms6,7. Here we report the results of a computed tomography analysis of Dwykaselachus, an enigmatic chondrichthyan braincase from the ~280 million year old Karoo sediments of South Africa8. Externally, the braincase is that of a symmoriid shark9,10,11,12,13 and is by far the most complete uncrushed example yet discovered. Internally, the morphology exhibits otherwise characteristically chimaeroid specializations, including the otic labyrinth arrangement and the brain space configuration relative to exceptionally large orbits. These results have important implications for our view of modern chondrichthyan origins, add robust structure to the phylogeny of early crown group gnathostomes, reveal preconditions that suggest an initial morpho-functional basis for the derived chimaeroid cranium, and shed new light on the chondrichthyan response to the extinction at the end of the Devonian period.","54 Citations"
"1707252139-7","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2017&page=41","Hurricane intensification along United States coast suppressed during active hurricane periods","https://www.nature.com/articles/nature20783","The North Atlantic ocean/atmosphere environment exhibits pronounced interdecadal variability that is known to strongly modulate Atlantic hurricane activity1,2,3,4,5,6. Variability in sea surface temperature (SST) is correlated with hurricane variability through its relationship with the genesis and thermodynamic potential intensity of hurricanes7. Another key factor that governs the genesis and intensity of hurricanes is ambient environmental vertical wind shear8,9,10 (VWS). Warmer SSTs generally correlate with more frequent genesis and greater potential intensity, while VWS inhibits genesis and prevents any hurricanes that do form from reaching their potential intensity. When averaged over the main hurricane-development region in the Atlantic, SST and VWS co-vary inversely11,12, so that the two factors act in concert to either enhance or inhibit basin-wide hurricane activity. Here I show, however, that conditions conducive to greater basin-wide Atlantic hurricane activity occur together with conditions for more probable weakening of hurricanes near the United States coast. Thus, the VWS and SST form a protective barrier along the United States coast during periods of heightened basin-wide hurricane activity. Conversely, during the most-recent period of basin-wide quiescence, hurricanes (and particularly major hurricanes) near the United States coast, although substantially less frequent, exhibited much greater variability in their rate of intensification, and were much more likely to intensify rapidly. Such heightened variability poses greater challenges to operational forecasting and, consequently, greater coastal risk during hurricane events.","56 Citations"
"1707252143-8","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2017&page=41","A direct localization of a fast radio burst and its host","https://www.nature.com/articles/nature20797","Fast radio bursts1,2 are astronomical radio flashes of unknown physical nature with durations of milliseconds. Their dispersive arrival times suggest an extragalactic origin and imply radio luminosities that are orders of magnitude larger than those of all known short-duration radio transients3. So far all fast radio bursts have been detected with large single-dish telescopes with arcminute localizations, and attempts to identify their counterparts (source or host galaxy) have relied on the contemporaneous variability of field sources4 or the presence of peculiar field stars5 or galaxies4. These attempts have not resulted in an unambiguous association6,7 with a host or multi-wavelength counterpart. Here we report the subarcsecond localization of the fast radio burst FRB 121102, the only known repeating burst source8,9,10,11, using high-time-resolution radio interferometric observations that directly image the bursts. Our precise localization reveals that FRB 121102 originates within 100 milliarcseconds of a faint 180-microJansky persistent radio source with a continuum spectrum that is consistent with non-thermal emission, and a faint (twenty-fifth magnitude) optical counterpart. The flux density of the persistent radio source varies by around ten per cent on day timescales, and very long baseline radio interferometry yields an angular size of less than 1.7 milliarcseconds. Our observations are inconsistent with the fast radio burst having a Galactic origin or its source being located within a prominent star-forming galaxy. Instead, the source appears to be co-located with a low-luminosity active galactic nucleus or a previously unknown type of extragalactic source. Localization and identification of a host or counterpart has been essential to understanding the origins and physics of other kinds of transient events, including gamma-ray bursts12,13 and tidal disruption events14. However, if other fast radio bursts have similarly faint radio and optical counterparts, our findings imply that direct subarcsecond localizations may be the only way to provide reliable associations.","573 Citations"
"1707252146-9","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2017&page=41","Catalyst support effects on hydrogen spillover","https://www.nature.com/articles/nature20782","Hydrogen spillover1 is the surface migration of activated hydrogen atoms from a metal catalyst particle, on which they are generated, onto the catalyst support2. The phenomenon has been much studied3,4,5,6,7 and its occurrence on reducible supports such as titanium oxide is established, yet questions remain about whether hydrogen spillover can take place on nonreducible supports such as aluminium oxide8,9,10,11,12,13. Here we use the enhanced precision of top-down nanofabrication14,15 to prepare controlled and precisely tunable model systems that allow us to quantify the efficiency and spatial extent of hydrogen spillover on both reducible and nonreducible supports. We place multiple pairs of iron oxide and platinum nanoparticles on titanium oxide and aluminium oxide supports, varying the distance between the pairs from zero to 45 nanometres with a precision of one nanometre. We then observe the extent of the reduction of the iron oxide particles by hydrogen atoms generated on the platinum using single-particle in situ X-ray absorption spectromicroscopy14 applied simultaneously to all particle pairs. The data, in conjunction with density functional theory calculations16,17, reveal fast hydrogen spillover on titanium oxide that reduces remote iron oxide nanoparticles via coupled proton–electron transfer. In contrast, spillover on aluminium oxide is mediated by three-coordinated aluminium centres that also interact with water and that give rise to hydrogen mobility competing with hydrogen desorption; this results in hydrogen spillover about ten orders of magnitude slower than on titanium oxide and restricted to very short distances from the platinum particle. We anticipate that these observations will improve our understanding of hydrogen storage18,19 and catalytic reactions involving hydrogen8,11,12,13, and that our approach to creating and probing model catalyst systems will provide opportunities for studying the origin of synergistic effects in supported catalysts that combine multiple functionalities.","607 Citations"
"1707252149-10","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2017&page=41","Kinetically E-selective macrocyclic ring-closing metathesis","https://www.nature.com/articles/nature20800","Macrocyclic compounds are central to the development of new drugs, but preparing them can be challenging because of the energy barrier that must be surmounted in order to bring together and fuse the two ends of an acyclic precursor such as an alkene (also known as an olefin)1. To this end, the catalytic process known as ring-closing metathesis (RCM)2,3,4 has allowed access to countless biologically active macrocyclic organic molecules, even for large-scale production5. Stereoselectivity is often critical in such cases: the potency of a macrocyclic compound can depend on the stereochemistry of its alkene; alternatively, one isomer of the compound can be subjected to stereoselective modification (such as dihydroxylation6). Kinetically controlled Z-selective RCM reactions have been reported7,8,9,10, but the only available metathesis approach for accessing macrocyclic E-olefins entails selective removal of the Z-component of a stereoisomeric mixture by ethenolysis10, sacrificing substantial quantities of material if E/Z ratios are near unity. Use of ethylene can also cause adventitious olefin isomerization—a particularly serious problem when the E-alkene is energetically less favoured. Here, we show that dienes containing an E-alkenyl–B(pinacolato) group, widely used in catalytic cross-coupling11, possess the requisite electronic and steric attributes to allow them to be converted stereoselectively to E-macrocyclic alkenes. The reaction is promoted by a molybdenum monoaryloxide pyrrolide complex and affords products at a yield of up to 73 per cent and an E/Z ratio greater than 98/2. We highlight the utility of the approach by preparing recifeiolide (a 12-membered-ring antibiotic)12,13 and pacritinib (an 18-membered-ring enzyme inhibitor)14,15, the Z-isomer of which is less potent than the E-isomer16. Notably, the 18-membered-ring moiety of pacritinib—a potent anti-cancer agent that is in advanced clinical trials for treating lymphoma and myelofibrosis—was prepared by RCM carried out at a substrate concentration 20 times greater than when a ruthenium carbene was used.","73 Citations"
