web-scraper-order,web-scraper-start-url,URL,URL-href,abstracts,citations
"1707304059-1","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2019&page=45","Brain regulatory T cells suppress astrogliosis and potentiate neurological recovery","https://www.nature.com/articles/s41586-018-0824-5","In addition to maintaining immune tolerance, FOXP3+ regulatory T (Treg) cells perform specialized functions in tissue homeostasis and remodelling1,2. However, the characteristics and functions of brain Treg cells are not well understood because there is a low number of Treg cells in the brain under normal conditions. Here we show that there is massive accumulation of Treg cells in the mouse brain after ischaemic stroke, and this potentiates neurological recovery during the chronic phase of ischaemic brain injury. Although brain Treg cells are similar to Treg cells in other tissues such as visceral adipose tissue and muscle3,4,5, they are apparently distinct and express unique genes related to the nervous system including Htr7, which encodes the serotonin receptor 5-HT7. The amplification of brain Treg cells is dependent on interleukin (IL)-2, IL-33, serotonin and T cell receptor recognition, and infiltration into the brain is driven by the chemokines CCL1 and CCL20. Brain Treg cells suppress neurotoxic astrogliosis by producing amphiregulin, a low-affinity epidermal growth factor receptor (EGFR) ligand. Stroke is a leading cause of neurological disability, and there are currently few effective recovery methods other than rehabilitation during the chronic phase. Our findings suggest that Treg cells and their products may provide therapeutic opportunities for neuronal protection against stroke and neuroinflammatory diseases.","406 Citations"
"1707304064-2","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2019&page=45","Genomic encoding of transcriptional burst kinetics","https://www.nature.com/articles/s41586-018-0836-1","Mammalian gene expression is inherently stochastic1,2, and results in discrete bursts of RNA molecules that are synthesized from each allele3,4,5,6,7. Although transcription is known to be regulated by promoters and enhancers, it is unclear how cis-regulatory sequences encode transcriptional burst kinetics. Characterization of transcriptional bursting, including the burst size and frequency, has mainly relied on live-cell4,6,8 or single-molecule RNA fluorescence in situ hybridization3,5,8,9 recordings of selected loci. Here we determine transcriptome-wide burst frequencies and sizes for endogenous mouse and human genes using allele-sensitive single-cell RNA sequencing. We show that core promoter elements affect burst size and uncover synergistic effects between TATA and initiator elements, which were masked at mean expression levels. Notably, we provide transcriptome-wide evidence that enhancers control burst frequencies, and demonstrate that cell-type-specific gene expression is primarily shaped by changes in burst frequencies. Together, our data show that burst frequency is primarily encoded in enhancers and burst size in core promoters, and that allelic single-cell RNA sequencing is a powerful model for investigating transcriptional kinetics.","253 Citations"
"1707304071-3","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2019&page=45","Cryo-EM structure of the human α1β3γ2 GABAA receptor in a lipid bilayer","https://www.nature.com/articles/s41586-018-0833-4","Type A γ-aminobutyric acid (GABAA) receptors are pentameric ligand-gated ion channels and the main drivers of fast inhibitory neurotransmission in the vertebrate nervous system1,2. Their dysfunction is implicated in a range of neurological disorders, including depression, epilepsy and schizophrenia3,4. Among the numerous assemblies that are theoretically possible, the most prevalent in the brain are the α1β2/3γ2 GABAA receptors5. The β3 subunit has an important role in maintaining inhibitory tone, and the expression of this subunit alone is sufficient to rescue inhibitory synaptic transmission in β1–β3 triple knockout neurons6. So far, efforts to generate accurate structural models for heteromeric GABAA receptors have been hampered by the use of engineered receptors and the presence of detergents7,8,9. Notably, some recent cryo-electron microscopy reconstructions have reported ‘collapsed’ conformations8,9; however, these disagree with the structure of the prototypical pentameric ligand-gated ion channel the Torpedo nicotinic acetylcholine receptor10,11, the large body of structural work on homologous homopentameric receptor variants12 and the logic of an ion-channel architecture. Here we present a high-resolution cryo-electron microscopy structure of the full-length human α1β3γ2L—a major synaptic GABAA receptor isoform—that is functionally reconstituted in lipid nanodiscs. The receptor is bound to a positive allosteric modulator ‘megabody’ and is in a desensitized conformation. Each GABAA receptor pentamer contains two phosphatidylinositol-4,5-bisphosphate molecules, the head groups of which occupy positively charged pockets in the intracellular juxtamembrane regions of α1 subunits. Beyond this level, the intracellular M3–M4 loops are largely disordered, possibly because interacting post-synaptic proteins are not present. This structure illustrates the molecular principles of heteromeric GABAA receptor organization and provides a reference framework for future mechanistic investigations of GABAergic signalling and pharmacology.","205 Citations"
"1707304077-4","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2019&page=45","A wireless closed-loop system for optogenetic peripheral neuromodulation","https://www.nature.com/articles/s41586-018-0823-6","The fast-growing field of bioelectronic medicine aims to develop engineered systems that can relieve clinical conditions by stimulating the peripheral nervous system1,2,3,4,5. This type of technology relies largely on electrical stimulation to provide neuromodulation of organ function or pain. One example is sacral nerve stimulation to treat overactive bladder, urinary incontinence and interstitial cystitis (also known as bladder pain syndrome)4,6,7. Conventional, continuous stimulation protocols, however, can cause discomfort and pain, particularly when treating symptoms that can be intermittent (for example, sudden urinary urgency)8. Direct physical coupling of electrodes to the nerve can lead to injury and inflammation9,10,11. Furthermore, typical therapeutic stimulators target large nerve bundles that innervate multiple structures, resulting in a lack of organ specificity. Here we introduce a miniaturized bio-optoelectronic implant that avoids these limitations by using (1) an optical stimulation interface that exploits microscale inorganic light-emitting diodes to activate opsins; (2) a soft, high-precision biophysical sensor system that allows continuous measurements of organ function; and (3) a control module and data analytics approach that enables coordinated, closed-loop operation of the system to eliminate pathological behaviours as they occur in real-time. In the example reported here, a soft strain gauge yields real-time information on bladder function in a rat model. Data algorithms identify pathological behaviour, and automated, closed-loop optogenetic neuromodulation of bladder sensory afferents normalizes bladder function. This all-optical scheme for neuromodulation offers chronic stability and the potential to stimulate specific cell types.","330 Citations"
"1707304083-5","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2019&page=45","An ultrafast symmetry switch in a Weyl semimetal","https://www.nature.com/articles/s41586-018-0809-4","Topological quantum materials exhibit fascinating properties1,2,3, with important applications for dissipationless electronics and fault-tolerant quantum computers4,5. Manipulating the topological invariants in these materials would allow the development of topological switching applications analogous to switching of transistors6. Lattice strain provides the most natural means of tuning these topological invariants because it directly modifies the electron–ion interactions and potentially alters the underlying crystalline symmetry on which the topological properties depend7,8,9. However, conventional means of applying strain through heteroepitaxial lattice mismatch10 and dislocations11 are not extendable to controllable time-varying protocols, which are required in transistors. Integration into a functional device requires the ability to go beyond the robust, topologically protected properties of materials and to manipulate the topology at high speeds. Here we use crystallographic measurements by relativistic electron diffraction to demonstrate that terahertz light pulses can be used to induce terahertz-frequency interlayer shear strain with large strain amplitude in the Weyl semimetal WTe2, leading to a topologically distinct metastable phase. Separate nonlinear optical measurements indicate that this transition is associated with a symmetry change to a centrosymmetric, topologically trivial phase. We further show that such shear strain provides an ultrafast, energy-efficient way of inducing robust, well separated Weyl points or of annihilating all Weyl points of opposite chirality. This work demonstrates possibilities for ultrafast manipulation of the topological properties of solids and for the development of a topological switch operating at terahertz frequencies.","297 Citations"
"1707304088-6","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2019&page=45","GABAA receptor signalling mechanisms revealed by structural pharmacology","https://www.nature.com/articles/s41586-018-0832-5","Type-A γ-aminobutyric (GABAA) receptors are ligand-gated chloride channels with a very rich pharmacology. Some of their modulators, including benzodiazepines and general anaesthetics, are among the most successful drugs in clinical use and are common substances of abuse. Without reliable structural data, the mechanistic basis for the pharmacological modulation of GABAA receptors remains largely unknown. Here we report several high-resolution cryo-electron microscopy structures in which the full-length human α1β3γ2L GABAA receptor in lipid nanodiscs is bound to the channel-blocker picrotoxin, the competitive antagonist bicuculline, the agonist GABA (γ-aminobutyric acid), and the classical benzodiazepines alprazolam and diazepam. We describe the binding modes and mechanistic effects of these ligands, the closed and desensitized states of the GABAA receptor gating cycle, and the basis for allosteric coupling between the extracellular, agonist-binding region and the transmembrane, pore-forming region. This work provides a structural framework in which to integrate previous physiology and pharmacology research and a rational basis for the development of GABAA receptor modulators.","323 Citations"
"1707304094-7","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2019&page=45","Greenland melt drives continuous export of methane from the ice-sheet bed","https://www.nature.com/articles/s41586-018-0800-0","Ice sheets are currently ignored in global methane budgets1,2. Although ice sheets have been proposed to contain large reserves of methane that may contribute to a rise in atmospheric methane concentration if released during periods of rapid ice retreat3,4, no data exist on the current methane footprint of ice sheets. Here we find that subglacially produced methane is rapidly driven to the ice margin by the efficient drainage system of a subglacial catchment of the Greenland ice sheet. We report the continuous export of methane-supersaturated waters (CH4(aq)) from the ice-sheet bed during the melt season. Pulses of high CH4(aq) concentration coincide with supraglacially forced subglacial flushing events, confirming a subglacial source and highlighting the influence of melt on methane export. Sustained methane fluxes over the melt season are indicative of subglacial methane reserves that exceed methane export, with an estimated 6.3 tonnes (discharge-weighted mean; range from 2.4 to 11 tonnes) of CH4(aq) transported laterally from the ice-sheet bed. Stable-isotope analyses reveal a microbial origin for methane, probably from a mixture of inorganic and ancient organic carbon buried beneath the ice. We show that subglacial hydrology is crucial for controlling methane fluxes from the ice sheet, with efficient drainage limiting the extent of methane oxidation5 to about 17 per cent of methane exported. Atmospheric evasion is the main methane sink once runoff reaches the ice margin, with estimated diffusive fluxes (4.4 to 28 millimoles of CH4 per square metre per day) rivalling that of major world rivers6. Overall, our results indicate that ice sheets overlie extensive, biologically active methanogenic wetlands and that high rates of methane export to the atmosphere can occur via efficient subglacial drainage pathways. Our findings suggest that such environments have been previously underappreciated and should be considered in Earth’s methane budget.","60 Citations"
"1707304100-8","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2019&page=45","Genomic insights into the 2016–2017 cholera epidemic in Yemen","https://www.nature.com/articles/s41586-018-0818-3","Yemen is currently experiencing, to our knowledge, the largest cholera epidemic in recent history. The first cases were declared in September 2016, and over 1.1 million cases and 2,300 deaths have since been reported1. Here we investigate the phylogenetic relationships, pathogenesis and determinants of antimicrobial resistance by sequencing the genomes of Vibrio cholerae isolates from the epidemic in Yemen and recent isolates from neighbouring regions. These 116 genomic sequences were placed within the phylogenetic context of a global collection of 1,087 isolates of the seventh pandemic V. cholerae serogroups O1 and O139 biotype El Tor2,3,4. We show that the isolates from Yemen that were collected during the two epidemiological waves of the epidemic1—the first between 28 September 2016 and 23 April 2017 (25,839 suspected cases) and the second beginning on 24 April 2017 (more than 1 million suspected cases)—are V. cholerae serotype Ogawa isolates from a single sublineage of the seventh pandemic V. cholerae O1 El Tor (7PET) lineage. Using genomic approaches, we link the epidemic in Yemen to global radiations of pandemic V. cholerae and show that this sublineage originated from South Asia and that it caused outbreaks in East Africa before appearing in Yemen. Furthermore, we show that the isolates from Yemen are susceptible to several antibiotics that are commonly used to treat cholera and to polymyxin B, resistance to which is used as a marker of the El Tor biotype.","106 Citations"
"1707304108-9","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2019&page=45","The ultrafast Einstein–de Haas effect","https://www.nature.com/articles/s41586-018-0822-7","The Einstein-de Haas effect was originally observed in a landmark experiment1 demonstrating that the angular momentum associated with aligned electron spins in a ferromagnet can be converted to mechanical angular momentum by reversing the direction of magnetization using an external magnetic field. A related problem concerns the timescale of this angular momentum transfer. Experiments have established that intense photoexcitation in several metallic ferromagnets leads to a drop in magnetization on a timescale shorter than 100 femtoseconds—a phenomenon called ultrafast demagnetization2,3,4. Although the microscopic mechanism for this process has been hotly debated, the key question of where the angular momentum goes on these femtosecond timescales remains unanswered. Here we use femtosecond time-resolved X-ray diffraction to show that most of the angular momentum lost from the spin system upon laser-induced demagnetization of ferromagnetic iron is transferred to the lattice on sub-picosecond timescales, launching a transverse strain wave that propagates from the surface into the bulk. By fitting a simple model of the X-ray data to simulations and optical data, we estimate that the angular momentum transfer occurs on a timescale of 200 femtoseconds and corresponds to 80 per cent of the angular momentum that is lost from the spin system. Our results show that interaction with the lattice has an essential role in the process of ultrafast demagnetization in this system.","142 Citations"
"1707304113-10","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2019&page=45","Age-related remodelling of oesophageal epithelia by mutated cancer drivers","https://www.nature.com/articles/s41586-018-0811-x","Clonal expansion in aged normal tissues has been implicated in the development of cancer. However, the chronology and risk dependence of the expansion are poorly understood. Here we intensively sequence 682 micro-scale oesophageal samples and show, in physiologically normal oesophageal epithelia, the progressive age-related expansion of clones that carry mutations in driver genes (predominantly NOTCH1), which is substantially accelerated by alcohol consumption and by smoking. Driver-mutated clones emerge multifocally from early childhood and increase their number and size with ageing, and ultimately replace almost the entire oesophageal epithelium in the extremely elderly. Compared with mutations in oesophageal cancer, there is a marked overrepresentation of NOTCH1 and PPM1D mutations in physiologically normal oesophageal epithelia; these mutations can be acquired before late adolescence (as early as early infancy) and significantly increase in number with heavy smoking and drinking. The remodelling of the oesophageal epithelium by driver-mutated clones is an inevitable consequence of normal ageing, which—depending on lifestyle risks—may affect cancer development.","380 Citations"
