web-scraper-order,web-scraper-start-url,URL,URL-href,abstract,Citations
"1707258378-1","https://www.nature.com/nature/research-articles?year=2016&page=46","Weakened magnetic braking as the origin of anomalously rapid rotation in old field stars","https://www.nature.com/articles/nature16168","A knowledge of stellar ages is crucial for our understanding of many astrophysical phenomena, and yet ages can be difficult to determine. As they become older, stars lose mass and angular momentum, resulting in an observed slowdown in surface rotation1. The technique of ‘gyrochronology’ uses the rotation period of a star to calculate its age2,3. However, stars of known age must be used for calibration, and, until recently, the approach was untested for old stars (older than 1 gigayear, Gyr). Rotation periods are now known for stars in an open cluster of intermediate age4 (NGC 6819; 2.5 Gyr old), and for old field stars whose ages have been determined with asteroseismology5,6. The data for the cluster agree with previous period–age relations4, but these relations fail to describe the asteroseismic sample7. Here we report stellar evolutionary modelling5,6,8,9,10, and confirm the presence of unexpectedly rapid rotation in stars that are more evolved than the Sun. We demonstrate that models that incorporate dramatically weakened magnetic braking for old stars can—unlike existing models—reproduce both the asteroseismic and the cluster data. Our findings might suggest a fundamental change in the nature of ageing stellar dynamos, with the Sun being close to the critical transition to much weaker magnetized winds. This weakened braking limits the diagnostic power of gyrochronology for those stars that are more than halfway through their main-sequence lifetimes.","246 Citations"
"1707258381-2","https://www.nature.com/nature/research-articles?year=2016&page=46","A prevalence of dynamo-generated magnetic fields in the cores of intermediate-mass stars","https://www.nature.com/articles/nature16171","Magnetic fields play a part in almost all stages of stellar evolution1. Most low-mass stars, including the Sun, show surface fields that are generated by dynamo processes in their convective envelopes2,3. Intermediate-mass stars do not have deep convective envelopes4, although 10 per cent exhibit strong surface fields that are presumed to be residuals from the star formation process5. These stars do have convective cores that might produce internal magnetic fields6, and these fields might survive into later stages of stellar evolution, but information has been limited by our inability to measure the fields below the stellar surface7. Here we report the strength of dipolar oscillation modes for a sample of 3,600 red giant stars. About 20 per cent of our sample show mode suppression, by strong magnetic fields in the cores8, but this fraction is a strong function of mass. Strong core fields occur only in red giants heavier than 1.1 solar masses, and the occurrence rate is at least 50 per cent for intermediate-mass stars (1.6–2.0 solar masses), indicating that powerful dynamos were very common in the previously convective cores of these stars.","95 Citations"
"1707258385-3","https://www.nature.com/nature/research-articles?year=2016&page=46","Response and resistance to BET bromodomain inhibitors in triple-negative breast cancer","https://www.nature.com/articles/nature16508","Triple-negative breast cancer (TNBC) is a heterogeneous and clinically aggressive disease for which there is no targeted therapy1,2,3. BET bromodomain inhibitors, which have shown efficacy in several models of cancer4,5,6, have not been evaluated in TNBC. These inhibitors displace BET bromodomain proteins such as BRD4 from chromatin by competing with their acetyl-lysine recognition modules, leading to inhibition of oncogenic transcriptional programs7,8,9. Here we report the preferential sensitivity of TNBCs to BET bromodomain inhibition in vitro and in vivo, establishing a rationale for clinical investigation and further motivation to understand mechanisms of resistance. In paired cell lines selected for acquired resistance to BET inhibition from previously sensitive TNBCs, we failed to identify gatekeeper mutations, new driver events or drug pump activation. BET-resistant TNBC cells remain dependent on wild-type BRD4, which supports transcription and cell proliferation in a bromodomain-independent manner. Proteomic studies of resistant TNBC identify strong association with MED1 and hyper-phosphorylation of BRD4 attributable to decreased activity of PP2A, identified here as a principal BRD4 serine phosphatase. Together, these studies provide a rationale for BET inhibition in TNBC and present mechanism-based combination strategies to anticipate clinical drug resistance.","412 Citations"
"1707258389-4","https://www.nature.com/nature/research-articles?year=2016&page=46","Autophagy maintains stemness by preventing senescence","https://www.nature.com/articles/nature16187","","849 Citations"
"1707258392-5","https://www.nature.com/nature/research-articles?year=2016&page=46","Species difference in ANP32A underlies influenza A virus polymerase host restriction","https://www.nature.com/articles/nature16474","","166 Citations"
"1707258396-6","https://www.nature.com/nature/research-articles?year=2016&page=46","The functional diversity of retinal ganglion cells in the mouse","https://www.nature.com/articles/nature16468","","530 Citations"
"1707258399-7","https://www.nature.com/nature/research-articles?year=2016&page=46","Repetitive patterns in rapid optical variations in the nearby black-hole binary V404 Cygni","https://www.nature.com/articles/nature16452","","68 Citations"
"1707258403-8","https://www.nature.com/nature/research-articles?year=2016&page=46","An ID2-dependent mechanism for VHL inactivation in cancer","https://www.nature.com/articles/nature16475","","90 Citations"
"1707258406-9","https://www.nature.com/nature/research-articles?year=2016&page=46","The calcium sensor synaptotagmin 7 is required for synaptic facilitation","https://www.nature.com/articles/nature16507","It has been known for more than 70 years that synaptic strength is dynamically regulated in a use-dependent manner1. At synapses with a low initial release probability, closely spaced presynaptic action potentials can result in facilitation, a short-term form of enhancement in which each subsequent action potential evokes greater neurotransmitter release2. Facilitation can enhance neurotransmitter release considerably and can profoundly influence information transfer across synapses3, but the underlying mechanism remains a mystery. One proposed mechanism is that a specialized calcium sensor for facilitation transiently increases the probability of release2,4, and this sensor is distinct from the fast sensors that mediate rapid neurotransmitter release. Yet such a sensor has never been identified, and its very existence has been disputed5,6. Here we show that synaptotagmin 7 (Syt7) is a calcium sensor that is required for facilitation at several central synapses. In Syt7-knockout mice, facilitation is eliminated even though the initial probability of release and the presynaptic residual calcium signals are unaltered. Expression of wild-type Syt7 in presynaptic neurons restored facilitation, whereas expression of a mutated Syt7 with a calcium-insensitive C2A domain did not. By revealing the role of Syt7 in synaptic facilitation, these results resolve a longstanding debate about a widespread form of short-term plasticity, and will enable future studies that may lead to a deeper understanding of the functional importance of facilitation.","189 Citations"
"1707258409-10","https://www.nature.com/nature/research-articles?year=2016&page=46","FOXO1 couples metabolic activity and growth state in the vascular endothelium","https://www.nature.com/articles/nature16498","Endothelial cells (ECs) are plastic cells that can switch between growth states with different bioenergetic and biosynthetic requirements1. Although quiescent in most healthy tissues, ECs divide and migrate rapidly upon proangiogenic stimulation2,3. Adjusting endothelial metabolism to the growth state is central to normal vessel growth and function1,4, yet it is poorly understood at the molecular level. Here we report that the forkhead box O (FOXO) transcription factor FOXO1 is an essential regulator of vascular growth that couples metabolic and proliferative activities in ECs. Endothelial-restricted deletion of FOXO1 in mice induces a profound increase in EC proliferation that interferes with coordinated sprouting, thereby causing hyperplasia and vessel enlargement. Conversely, forced expression of FOXO1 restricts vascular expansion and leads to vessel thinning and hypobranching. We find that FOXO1 acts as a gatekeeper of endothelial quiescence, which decelerates metabolic activity by reducing glycolysis and mitochondrial respiration. Mechanistically, FOXO1 suppresses signalling by MYC (also known as c-MYC), a powerful driver of anabolic metabolism and growth5,6. MYC ablation impairs glycolysis, mitochondrial function and proliferation of ECs while its EC-specific overexpression fuels these processes. Moreover, restoration of MYC signalling in FOXO1-overexpressing endothelium normalizes metabolic activity and branching behaviour. Our findings identify FOXO1 as a critical rheostat of vascular expansion and define the FOXO1–MYC transcriptional network as a novel metabolic checkpoint during endothelial growth and proliferation.","351 Citations"
