web-scraper-order,web-scraper-start-url,URL,URL-href,abstract,citations
"1707246887-1","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2018&page=46","Black-hole-regulated star formation in massive galaxies","https://www.nature.com/articles/nature24999","","44 Citations"
"1707246893-2","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2018&page=46","Dietary trehalose enhances virulence of epidemic Clostridium difficile","https://www.nature.com/articles/nature25178","Clostridium difficile disease has recently increased to become a dominant nosocomial pathogen in North America and Europe, although little is known about what has driven this emergence. Here we show that two epidemic ribotypes (RT027 and RT078) have acquired unique mechanisms to metabolize low concentrations of the disaccharide trehalose. RT027 strains contain a single point mutation in the trehalose repressor that increases the sensitivity of this ribotype to trehalose by more than 500-fold. Furthermore, dietary trehalose increases the virulence of a RT027 strain in a mouse model of infection. RT078 strains acquired a cluster of four genes involved in trehalose metabolism, including a PTS permease that is both necessary and sufficient for growth on low concentrations of trehalose. We propose that the implementation of trehalose as a food additive into the human diet, shortly before the emergence of these two epidemic lineages, helped select for their emergence and contributed to hypervirulence.","233 Citations"
"1707246901-3","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2018&page=46","AMD1 mRNA employs ribosome stalling as a mechanism for molecular memory formation","https://www.nature.com/articles/nature25174","","49 Citations"
"1707246904-4","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2018&page=46","Precision editing of the gut microbiota ameliorates colitis","https://www.nature.com/articles/nature25172","","348 Citations"
"1707246907-5","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2018&page=46","Clonal analysis of lineage fate in native haematopoiesis","https://www.nature.com/articles/nature25168","","329 Citations"
"1707246910-6","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2018&page=46","Hierarchically related lineage-restricted fates of multipotent haematopoietic stem cells","https://www.nature.com/articles/nature25455","","218 Citations"
"1707246914-7","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2018&page=46","A record of deep-ocean dissolved O2 from the oxidation state of iron in submarine basalts","https://www.nature.com/articles/nature25009","","107 Citations"
"1707246917-8","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2018&page=46","Alcohol and endogenous aldehydes damage chromosomes and mutate stem cells","https://www.nature.com/articles/nature25154","Haematopoietic stem cells renew blood. Accumulation of DNA damage in these cells promotes their decline, while misrepair of this damage initiates malignancies. Here we describe the features and mutational landscape of DNA damage caused by acetaldehyde, an endogenous and alcohol-derived metabolite. This damage results in DNA double-stranded breaks that, despite stimulating recombination repair, also cause chromosome rearrangements. We combined transplantation of single haematopoietic stem cells with whole-genome sequencing to show that this damage occurs in stem cells, leading to deletions and rearrangements that are indicative of microhomology-mediated end-joining repair. Moreover, deletion of p53 completely rescues the survival of aldehyde-stressed and mutated haematopoietic stem cells, but does not change the pattern or the intensity of genome instability within individual stem cells. These findings characterize the mutation of the stem-cell genome by an alcohol-derived and endogenous source of DNA damage. Furthermore, we identify how the choice of DNA-repair pathway and a stringent p53 response limit the transmission of aldehyde-induced mutations in stem cells.","246 Citations"
"1707246920-9","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2018&page=46","Terminal Pleistocene Alaskan genome reveals first founding population of Native Americans","https://www.nature.com/articles/nature25173","","196 Citations"
"1707246923-10","https://www.nature.com/nature/research-articles?searchType=journalSearch&sort=PubDate&year=2018&page=46","A metabolic function of FGFR3-TACC3 gene fusions in cancer","https://www.nature.com/articles/nature25171","","117 Citations"
