"Title","Year","Source title","Cited by","Link","Abstract"
"Postcolonial ecocriticism: A study of “development” in arundhati roy’s “the greater common good”","2019","IUP Journal of English Studies","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120005049&partnerID=40&md5=444668906f726b45e7b9e8307e27e45b","Postcolonial literature, also called “protest literature,” demands social justice for the atrocities committed against the natives, but not much attention has been paid to the atrocities against the indigenous environment. Postcolonial studies has mostly been anthropocentric. However, the destruction of the environment during the colonial period needs to be addressed, as human beings and nature are interdependent. The colonial rulers regarded any unused natural resource to be unproductive, and in order to make it “productive,” the native environment was either wiped out altogether or vastly restructured to suit their purpose of economic benefits. The restructuring of the natural environment affected the indigenous people because they lost not only their roots and culture but also their traditional livelihood. This vast restructuring of nature has been justified on the grounds of “development,” but this development has always been an uneven one from a materialistic point of view because in this development, only the most powerful in the hierarchy of power have benefited, whereas, the colonized—the poor, the natives—have always been exploited. This paper delves into the issue of “development” in the postcolonial context with reference to the essay “The Greater Common Good” by postcoloni al writer-activist, Arundhati Roy. © 2019 IUP.All Rights Reserved."
"Becoming blind: Onto/epistemological 'seeing' of white coat literacy & pedagogy","2019","Video Journal of Education and Pedagogy","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111103084&doi=10.1163%2f23644583-00401017&partnerID=40&md5=d879b69928c94043b39f8111234f108c","Medicine has always been regarded as one of the most significant disciplines, grounded in a humanistic approach, due to its ultimate exposure and connection with people as 'patients' and hence a holistic understanding of the patient as 'human' is fundamental. In our potentially dangerous times, the instrumental, technical and fragmented ways of seeing knowledge tend to permeate most disciplines, including medicine. This may result in individuals becoming alienated with the 'self' as potential doctors, with the discipline and with patients through the monologic discourse of academia or clinics. This article examines this (in)visible global issue in the specific context of Iran, where bilingual medical education adds another level of complexity in dialogic 'seeing' of self, knowledge and patients. Grounded in Bakhtin's theory of dialogue and critical literacy approach to language and literacy, this article explores the affordances of a pedagogical intervention at an Iranian university. This offers diverse avenues for constructing a holistic medical knowledge in the process of becoming a professional through narrative medicine, clinical scenarios, evidence-based medicine and personal experiences. Selected stories of participants' ontological and epistemological transformations, in their process of ideological becoming, are offered to argue for the urgency of dialogic ways of 'seeing' in potentially dangerous times. © MAHTAB JANFADA, 2020"
"Spectral dimensionality reduction for Bregman information","2019","Information Geometry","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126539002&doi=10.1007%2fs41884-019-00023-0&partnerID=40&md5=dcc8d1f95d0b18a0724edd1af6d454da","A spectral dimensionality reduction in dually flat spaces is formulated. On the basis of the expansion with respect to the affine coordinate, it is shown that some inner products compose Bregman divergence. Since the centroids are determined in two ways, depending on coordinate used for centering, Bregman information is also evaluated in two ways. In both cases, Bregman information is shown to be represented as a weighted sum of the eigenvalues of two inner product matrices. For given dissimilarities, the problem which finds the values of the inner product matrices is described as a semidefinite programming. As an example, numerical calculations are also presented. © 2019, Springer Nature Singapore Pte Ltd."
"Promoting Cumulation in models of the human mind","2019","Computational Brain and Behavior","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112470234&doi=10.1007%2fs42113-019-00060-z&partnerID=40&md5=28c87df76e78a5b5ec1dcc4f0ff6e19f","Lee et al. (2019) address a critical issue in cognitive science—defining scientific practices that will promote rigor and confidence in our science by ensuring that our mechanisms, models, and theories are adequately described and validated to facilitate replication and to foster trust. They provide a number of concrete suggestions to advance our science along that path. The recommendations emphasize preregistration of models and predictions combined with more comprehensive model evaluation, including published descriptions of exploratory analyses, alternative mechanisms, and model assumptions. These are excellent recommendations, and general adoption of such practices will benefit model assessment and validation methodologies in cognitive science research while improving trust in published reports of computational and mathematical accounts of cognitive phenomena. However, it is unclear that these strategies alone will resolve many other important challenges faced in developing quantitative theories of human cognition and behavior. For example, addressing the crisis of confidence will not, by itself, move the science toward the broader goal of developing more comprehensive and cumulative theories of the nature of the human mind. Cognitive modeling is a critical methodology for achieving that goal. However, to realize the potential will require changes not only to how we evaluate our models, but also to how we measure progress and scientific contribution. © 2019, This is a U.S. government work and not under copyright protection in the U.S.; foreign copyright protection may apply."
"In Step at the Top? Optimism, Efficacy, and Orientation Among Local Television News Managers","2019","Electronic News","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122365317&doi=10.1177%2f1931243119883845&partnerID=40&md5=41f1d72e089e68c7a7610e7c0b8833bb","A quantitative survey of local television news directors in the United States (N = 159) explored three main topics: the perception/attitudes of current local TV news directors, potential differences in those attitudes by market size, and whether news directors felt “in step” with their staff and/or upper management. The results indicated that the majority of news directors are still White, male, and middle-aged. News directors see a strong connection between news product quality and resources devoted to news. News directors were also, overall, pessimistic about the future of the TV news industry. Analysis indicated that there were few differences among the news directors working in large, medium, and small markets. Further, news directors reported being somewhat “out-of-step” with their staff and management regarding profit and market orientation. © The Author(s) 2019."
"Blinded Inference: an Opportunity for Mathematical Modelers to Lead the Way in Research Reform","2019","Computational Brain and Behavior","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112444736&doi=10.1007%2fs42113-019-00040-3&partnerID=40&md5=593ad5aad08b8ea84f6834dd7703e531","In a blinded inference study, researchers are asked to analyze condition-blinded datasets and make inferences about various aspects of the data generation process, such as whether or not a variable that manipulates some target cognitive process varied across conditions. This procedure directly tests researchers’ ability to make valid conclusions about underlying processes based on data patterns and assesses the extent to which they accurately report the level of uncertainty associated with their research conclusions. As such, blinded inference studies are a valuable tool in the effort to improve research practices. In this comment, we review three recent studies in the cognitive modeling literature to highlight the benefits of blinded inference, and we make recommendations for future blinded inference studies. We conclude by encouraging modelers to champion the blinded inference method as a fundamental component of effective psychological research. © 2019, Society for Mathematical Psychology."
"On Testing and Developing Cognitive Models","2019","Computational Brain and Behavior","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112408490&doi=10.1007%2fs42113-019-00041-2&partnerID=40&md5=7db1956a8a6d50d59c0ab71073c05e4b","The target article, “Robust Modeling in Cognitive Science,” proposes a number of recommended practices in computational modeling in response to the growing “crisis of confidence” facing many scientific disciplines, including psychology and neuroscience. Those of us who do modeling, write about modeling, teach modeling, and mentor modelers worry deeply about best practices and any new suggestions for making modeling more transparent, trusted, and robust are welcome. Many of the recommendations seem uncontroversial. My commentary focuses on forms of preregistration and postregistration, which constitute three of the four key ideas highlighted as take-home recommendations at the conclusion of the target article. I have chosen to consider these recommendations by reflecting on my own past experiences developing new models and modeling approaches. © 2019, Society for Mathematical Psychology."
"Estimation of apolipoprotein A in early onset ST-segment elevation myocardial infarction","2019","Cardiovascular Endocrinology and Metabolism","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124378009&doi=10.1097%2fXCE.0000000000000183&partnerID=40&md5=6a153018b64c0bc40f27b514346de29b","Aims The role of apolipoprotein A in early onset ST-segment elevation myocardial infarction is not clear. This study sought to assess the apolipoprotein A in cohort of patients diagnosed with early onset acute ST-segment elevation myocardial infarction and to corelate it with major traditional cardiovascular risk factors. Methods A total of 50 such patients and 40 age and sex-matched healthy controls, both aged less than 50 years with their baseline demographic, clinical characteristics and cardiovascular risk factors were studied. Apolipoprotein A was estimated for all enrollees. Results The mean age of cases was 43.37 ± 5.85 years. The levels of apolipoprotein A among cases were not significantly lower compared to controls (P = 0.52). They were lower among the male, current smokers and the dyslipidemia (P's < 0.05). Considering the apolipoprotein A as the dependent factor, the early onset ST-segment elevation myocardial infarction was associated significantly with the male and the dyslipidemia in linear regression (P < 0.001 and 0.030), respectively. Conclusion Lower levels of apolipoprotein A are significantly related to conventional risk factors in early onset ST-segment elevation myocardial infarction. This apolipoprotein A that particularly develops in young patients with clustering of traditional cardiovascular risk factors should be targeted. Further studies are warranted to determine the diagnostic and prognostic indicators of this apolipoprotein in ST-segment elevation myocardial infarction.  © 2019 Wolters Kluwer Health, Inc."
"URBAN HERITAGE OF THE WALLED CITY OF LAHORE: CRITICAL ANALYSIS AND THE WAY FORWARD FOR POLICY","2019","Journal of Architectural and Planning Research","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122812260&partnerID=40&md5=4461e4592e617c6c8a663c827fbce40f","The historical city of Lahore, Pakistan, is an emblem of built heritage that was developed by various ethnicities, religious communities, and regimes over centuries. With their profound urban setting and traditional cityscape, the architectural remnants of the Walled City of Lahore depict one of the most remarkable urban centers of their era. The huge public migration of local residents away from the area in 1947 was followed by an influx of new residents who had no affiliation with the historical built environment. Based on a literature review, the authors derived 10 parameters to study whether the resulting transformations retained the area’s heritage. The resulting report on the temporal changes to land use, the built environment, and the architecture of the walled city was not encouraging. To determine the reasons for the decaying historical urban fabric, the authors sought data and feedback from interviews with local residents and representatives of the Walled City of Lahore Authority. The main finding of the study suggested that the Walled City of Lahore Authority adopted a project-based approach to conservation instead of an integrated process. The study provides suggestions for a way forward to develop a process-oriented system that would consequently lead to the conservation of the walled city. © 2019, Locke Science Publishing Company, Inc."
"The trailer as erotic capital. Gendered performances—research and participant roles during festival fieldwork","2019","Societies","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117364196&doi=10.3390%2fsoc9040083&partnerID=40&md5=69d27caea079fbd2b7054ff7f04f48b3","This article examines different roles and field relations of the researcher in studies of young people at Christian festivals. The main questions are how the researcher gains access to the “flirtation field,” which flirting roles the youth participants engage in, and how the researcher copes with flirtation in the field. The article’s theoretical approach draws on feminist methodology on how positions, roles, and relations are negotiated in fieldwork, and discusses the notion of erotic capital. Christian festivals in Norway attract among 100,000 people every year. One of the main activities that was brought to my attention by a car trailer was the importance of flirting between the young boys and girls at these festivals. At the Christian festivals, flirting takes place within a heterosexual framework. In order to be part of this game, the girls are supposed to be feminine and available. The boy’s role is to be active and take initiative. Both sexes work hard to become participants in this game of winning attention that represents two different worlds for boys and girls, and in which there are both male and female losers. The rules of the game seem doubly strict for the girls since they are expected to administer both their own and the boys’ lust. © 2019 by the author. Licensee MDPI, Basel, Switzerland."
